,x,y,0,1,2,3,4,5,6,7,8,9
0,0.13276295892211268,0,0,0,0,0,0,0,0,0,0,0
1,0.17626003261754578,0,0,0,0,0,0,0,0,0,0,0
2,0.23400803470013468,0,0,0,0,0,0,0,0,0,0,0
3,0.310675990983383,0,0,0,0,0,0,0,0,0,0,0
4,0.41246263829013513,0,0,0,0,0,0,0,0,0,0,0
5,0.5475976030421943,0,0,0,0,0,0,0,0,0,0,0
6,0.727006780785382,0,0,0,0,0,0,0,0,0,0,0
7,0.9651957137350704,0,0,0,0,0,0,0,0,0,0,0
8,1.2814223889440834,1,0,0,0,1,0,1,1,4,0,1
9,1.7012542798525883,0,0,0,0,0,0,0,0,0,0,0
10,2.2586355207213757,0,0,0,0,0,0,1,1,0,1,0
11,2.9986313485755653,0,0,0,0,0,0,0,0,0,0,0
12,3.9810717055349714,0,0,0,0,0,0,1,0,1,2,0
13,5.285388593079245,3,0,0,0,1,11,0,3,2,8,0
14,7.017038286703826,24,4,0,0,0,0,2,1,0,2,0
15,9.316027658125519,12,1,0,0,0,0,4,0,0,1,0
16,12.368233972929833,2,1,0,0,1,0,1,2,0,2,0
17,16.42043338887162,2,0,0,0,0,0,1,1,0,3,0
18,21.8002532349005,3,0,0,0,0,0,4,0,2,3,2
19,28.94266124716749,5,1,0,0,0,1,2,0,1,3,1
20,38.425133462543194,8,0,0,0,0,0,2,0,0,3,0
21,51.0143441546432,16,0,0,0,1,1,1,0,3,3,0
22,67.72815277441413,17,0,0,0,0,1,3,0,0,1,0
23,89.91789964660114,26,0,0,0,0,0,1,1,1,1,0
24,119.37766417144357,27,0,0,0,0,0,1,1,2,3,0
25,158.48931924611125,22,0,0,0,0,0,0,0,1,4,0
26,210.4151098066507,21,0,0,0,0,0,2,0,0,1,0
27,279.35332579852195,15,0,0,0,0,0,0,0,1,1,0
28,370.87774117744726,24,0,0,0,0,0,0,0,0,0,0
29,492.38826317067367,20,0,0,0,0,0,0,0,0,0,0
30,653.7092275705855,16,0,0,0,0,0,0,0,0,0,0
31,867.8837132695965,13,0,0,0,0,0,0,0,0,0,0
32,1152.2280977398204,7,0,0,0,0,0,0,0,0,0,0
33,1529.7321160913566,2,0,0,0,0,0,0,0,0,0,0
34,2030.9176209047348,3,0,0,0,0,0,0,0,0,0,0
35,2696.3063267836983,2,0,0,0,0,0,0,0,0,0,0
36,3579.69606104217,0,0,0,0,0,0,0,0,0,0,0
37,4752.510411057897,1,0,0,0,0,0,0,0,0,0,0
38,6309.57344480193,0,0,0,0,0,0,0,0,0,0,0
